town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until
aarschot,1,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbt67976,Apartment,295 000 €,Herseltsesteenweg 38 2 3200 Aarschot,38,Aarschot,2,,,1,,92 m²,Yes,,,,2008,Normal,,Yes,,Yes,Yes,204 kWh/m²/year,,07/01/2029
aarschot,1,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbt69906,Apartment,429 900 €,"Ourodenbergstraat 5
3200 Aarschot",5,Aarschot,2,,,1,,126 m²,Yes,35 m²,,,2025,New,,,Double glass,Yes,Yes,,,
aarschot,1,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbt71435,Apartment,319 800 €,Jan Hammeneckerlaan 3 002 3200 Aarschot,3,Aarschot,2,,,1,1,87 m²,Yes,12 m²,,,2018,Normal,,No,,Yes,,77 kWh/m²/year,,06/12/2028
aarschot,1,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc38386,Apartment,285 797 €,Karel Aertsstraat - Jozef Cuypersstraat 3200 Aarschot,3200,Aarschot,2,,,,,86 m²,Yes,,,,,,Fully equipped,,,,,,,
aarschot,1,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc38387,Apartment,332 817 €,Karel Aertsstraat - Jozef Cuypersstraat 3200 Aarschot,3200,Aarschot,3,,,,,100 m²,Yes,,,,,,Fully equipped,,,,,,,
aarschot,1,https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbt39315,Residence,199 000 €,Gijmelsesteenweg 159 3200 Aarschot,159,Aarschot,3,,,,,115 m²,Yes,12 m²,,,1933,To be renovated,,Yes,Simple glass,No,,734 kWh/m²/year,,13/04/2035
aarschot,1,https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbt41340,Residence,269 000 €,Jozef Tielemansstraat 33 3200 Aarschot,33,Aarschot,2,,,1,2,100 m²,Yes,,,,1831,,Fully equipped,,Double glass,,,244 kWh/m²/year,,21/06/2029
aarschot,1,https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbt42113,Residence,415 000 €,Dorpstraat 78 3200 Aarschot,78,Aarschot,2,,,1,2,190 m²,Yes,,,,1972,,Super equipped,,Double glass,,,874 kWh/m²/year,,11/03/2035
aarschot,1,https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbt67095,Residence,385 000 €,Oude Mechelsebaan 50 3200 Aarschot,50,Aarschot,2,,,1,2,107 m²,Yes,,,,,Normal,,No,,No,,64 kWh/m²/year,,14/10/2034
aarschot,1,https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbt67298,Residence,375 000 €,Gijmelberglaan 64 3200 Aarschot,64,Aarschot,4,,,,,174 m²,Yes,15 m²,,,1980,Fully renovated,,No,Double glass,No,,134 kWh/m²/year,,22/05/2030
