town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until
verviers,1,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc21495,Apartment,292 500 €,Avenue Peltzer 21 4800 Verviers,21,Verviers,2,13 m²,10 m²,1,1,91 m²,Yes,15 m²,West,3,2024,New,Super equipped,Yes,Double glass,Yes,Yes,47 kWh/m²/year,4400 kWh/year,17/09/2034
verviers,1,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc86453,Apartment,Make offer from 95 000 €,Rue du Pont 4-6 4800 Verviers,4800,Verviers,1,12 m²,,1,1,71 m²,Yes,0 m²,East,1,1919,Normal,Fully equipped,Yes,Double glass,No,,262 kWh/m²/year,18705 kWh/year,
verviers,1,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc88391,Apartment,230 000 €,Rue de Liège 49 3ème 4800 Verviers,49,Verviers,3,,,,1,123 m²,Yes,3 m²,,3,,,,No,,Yes,,202 kWh/m²/year,,08/12/2034
verviers,1,https://immovlan.be/en/detail/mixed-building/for-sale/4800/verviers/vbc86480,Mixed,149 000 €,Rue Fernand Houget 14 4800 Verviers,14,Verviers,3,,,2,,296 m²,,,,,,,,No,,,,,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vbc73936,Residence,240 000 €,Rue de Grand-Rechain 56 4800 Petit-Rechain,56,Petit-Rechain,3,,,1,1,,,,,,,To be renovated,,No,,,,552 kWh/m²/year,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vbc88707,Residence,199 000 €,Rue Nicolas Arnold 41 4800 Petit-Rechain,41,Petit-Rechain,4,,,1,3,155 m²,Yes,7 m²,,,1925,,Not equipped,No,,No,,336 kWh/m²/year,,26/11/2034
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vwc99079,Residence,360 216 €,Clos Poussard 4800 Petit-Rechain,4800,Petit-Rechain,4,,,1,,140 m²,Yes,17 m²,,,,,,Yes,Double glass,No,No,,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vwc99080,Residence,353 586 €,"Clos Poussard
4800 Petit-Rechain",4800,Petit-Rechain,4,,,1,,140 m²,Yes,17 m²,,,,,,Yes,Double glass,No,No,,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vwd00161,Residence,338 757 €,"Rue Clos Poussard 1
4800 Petit-Rechain",1,Petit-Rechain,3,,,,,135 m²,Yes,15 m²,,,2022,New,,No,Double glass,No,No,,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc86713,Residence,Make offer from 65 000 €,Pied Vache 11 4800 Verviers,11,Verviers,4,,,,,,,,,,,To be renovated,,No,,,,859 kWh/m²/year,,
